data_json_filename, dataset_count
performance.kingcounty.gov.data.json, 71
performance.lacity.org.data.json, 114
performance.louisvilleky.gov.data.json, 22
performance.reno.gov.data.json, 17
performance.seattle.gov.data.json, 167
performance.smcgov.org.data.json, 391
permits.partner.socrata.com.data.json, 12
reportcard.santamonicayouth.net.data.json, 3
reports.awcnet.org.data.json, 1
reports.data.montgomerycountymd.gov.data.json, 470
results.livewellsd.org.data.json, 9
results.nola.gov.data.json, 13
sdotperformance.seattle.gov.data.json, 97
stat.cityofgainesville.org.data.json, 68
uspto.data.commerce.gov.data.json, 40
www.aercdevdata.org.data.json, 0
www.criminalytics.org.data.json, 2
www.dallasopendata.com.data.json, 43
www.data.act.gov.au.data.json, 108
www.datossct.gob.mx.data.json, 48
www.metrochicagodata.org.data.json, 1
www.opendata.go.ke.data.json, 360
www.opendatanyc.com.data.json, 469
www.pipadados.com.data.json, 7
